slug,name,city,state,address,full_address
hwy-314,Mister Car Wash Hwy 314,Abilene,TX,6118 Buffalo Gap Rd,"6118 Buffalo Gap Rd, Abilene, TX"
kemah,Mister Car Wash Kemah,Kemah,TX,312 Fm 518 Rd,"312 Fm 518 Rd, Kemah, TX"
genesis,Mister Car Wash Genesis,Webster,TX,1380 Fm 528,"1380 Fm 528, Webster, TX"
laurynnbrook,Mister Car Wash Laurynnbrook,Pasadena,TX,7705 Spencer Hwy,"7705 Spencer Hwy, Pasadena, TX"
fairmont,Mister Car Wash Fairmont,Pasadena,TX,5964 Fairmont Pkwy,"5964 Fairmont Pkwy, Pasadena, TX"
bliss-meadows,Mister Car Wash Bliss Meadows,Pasadena,TX,5800 Spencer Highway,"5800 Spencer Highway, Pasadena, TX"
wallisville,Mister Car Wash Wallisville,Houston,TX,15232 Wallisville Rd,"15232 Wallisville Rd, Houston, TX"
uvalde,Mister Car Wash Uvalde,Houston,TX,380 Uvalde Road,"380 Uvalde Road, Houston, TX"
atascocita,Mister Car Wash Atascocita,Humble,TX,5701 Fm 1960 Rd East,"5701 Fm 1960 Rd East, Humble, TX"
holcombe,Mister Car Wash Holcombe,Houston,TX,2237 W Holcombe Blvd,"2237 W Holcombe Blvd, Houston, TX"
south-main,Mister Car Wash South Main,Houston,TX,8810 S Main St,"8810 S Main St, Houston, TX"
humble,Mister Car Wash Humble,Humble,TX,9637 Fm 1960 By Pass West,"9637 Fm 1960 By Pass West, Humble, TX"
upper-kirby,Mister Car Wash Upper Kirby,Houston,TX,5102 Kirby Rd,"5102 Kirby Rd, Houston, TX"
kirby,Mister Car Wash Kirby,Houston,TX,3150 Kirby Drive,"3150 Kirby Drive, Houston, TX"
crosstimbers,Mister Car Wash Crosstimbers,Houston,TX,640 West Crosstimbers,"640 West Crosstimbers, Houston, TX"
galleria,Mister Car Wash Galleria,Houston,TX,5735 Westheimer Rd,"5735 Westheimer Rd, Houston, TX"
hillcroft,Mister Car Wash Hillcroft,Houston,TX,6107 Hillcroft Street,"6107 Hillcroft Street, Houston, TX"
highway-6,Mister Car Wash Highway 6,Missouri City,TX,5415 Highway 6,"5415 Highway 6, Missouri City, TX"
voss,Mister Car Wash Voss,Houston,TX,2251 South Voss Road,"2251 South Voss Road, Houston, TX"
bellaire,Mister Car Wash Bellaire,Houston,TX,7601 Bellaire Blvd,"7601 Bellaire Blvd, Houston, TX"
dulles,Mister Car Wash Dulles,Stafford,TX,601 Dulles Ave,"601 Dulles Ave, Stafford, TX"
sugarland,Mister Car Wash Sugarland,Sugar Land,TX,2530 Highway 6,"2530 Highway 6, Sugar Land, TX"
1960-east,Mister Car Wash 1960 East,Houston,TX,210 Fm 1960 Road East,"210 Fm 1960 Road East, Houston, TX"
westheimer,Mister Car Wash Westheimer,Houston,TX,10760 Westheimer,"10760 Westheimer, Houston, TX"
gessner,Mister Car Wash Gessner,Houston,TX,1038 Gessner Drive,"1038 Gessner Drive, Houston, TX"
brigade,Mister Car Wash Brigade,Houston,TX,2466 Gessner Rd,"2466 Gessner Rd, Houston, TX"
holzwarth,Mister Car Wash Holzwarth,Spring,TX,1631 Louetta Rd,"1631 Louetta Rd, Spring, TX"
addicks-howell,Mister Car Wash Addicks-Howell,Houston,TX,9045 Highway 6 South,"9045 Highway 6 South, Houston, TX"
champions,Mister Car Wash Champions,Houston,TX,6612 Fm 1960 Road West,"6612 Fm 1960 Road West, Houston, TX"
louetta,Mister Car Wash Louetta,Spring,TX,7715 Louetta Rd,"7715 Louetta Rd, Spring, TX"
copperfield,Mister Car Wash Copperfield,Houston,TX,7310 Hwy 6n,"7310 Hwy 6n, Houston, TX"
south-mason,Mister Car Wash South Mason,Katy,TX,1144 South Mason Rd,"1144 South Mason Rd, Katy, TX"
spring-green,Mister Car Wash Spring Green,Katy,TX,1726 Spring Green Blvd-tract 5,"1726 Spring Green Blvd-tract 5, Katy, TX"
mesquite,Mister Car Wash Mesquite,Mesquite,TX,3205 N Galloway,"3205 N Galloway, Mesquite, TX"
temple,Mister Car Wash Temple,Temple,TX,5284 W Adams Ave,"5284 W Adams Ave, Temple, TX"
pflugerville,Mister Car Wash Pflugerville,Pflugerville,TX,15400 Fm-1825,"15400 Fm-1825, Pflugerville, TX"
gattis,Mister Car Wash Gattis,Round Rock,TX,1821 Gattis School Rd,"1821 Gattis School Rd, Round Rock, TX"
research,Mister Car Wash Research,Austin,TX,8500 Research Blvd Ste 100,"8500 Research Blvd Ste 100, Austin, TX"
burnet,Mister Car Wash Burnet,Austin,TX,5721 Burnet Road,"5721 Burnet Road, Austin, TX"
round-rock,Mister Car Wash Round Rock,Round Rock,TX,2720 S Interstate 35,"2720 S Interstate 35, Round Rock, TX"
oakwood-blvd,Mister Car Wash Oakwood Blvd,Round Rock,TX,2000 Round Rock Ave,"2000 Round Rock Ave, Round Rock, TX"
whitestone,Mister Car Wash Whitestone,Cedar Park,TX,1501 W Whitestone Blvd,"1501 W Whitestone Blvd, Cedar Park, TX"
mlk,Mister Car Wash MLK,Killeen,TX,4901 Martin Luther King Dr,"4901 Martin Luther King Dr, Killeen, TX"
stan-schlueter-loop,Mister Car Wash Stan Schlueter Loop,Killeen,TX,3402 W Stan Schlueter Loop,"3402 W Stan Schlueter Loop, Killeen, TX"
ft-cavazos,Mister Car Wash Ft. Cavazos,Fort Cavazos,TX,Bldg #50014 Clear Creek Rd,"Bldg #50014 Clear Creek Rd, Fort Cavazos, TX"
hwy-190,Mister Car Wash Hwy 190,Copperas Cove,TX,101 E Hwy 190,"101 E Hwy 190, Copperas Cove, TX"
judge-ely,Mister Car Wash Judge Ely,Abilene,TX,501 S Judge Ely Blvd,"501 S Judge Ely Blvd, Abilene, TX"
s-27th,Mister Car Wash S 27th,Abilene,TX,2350 South 27th St,"2350 South 27th St, Abilene, TX"
buffalo-gap,Mister Car Wash Buffalo Gap,Abilene,TX,4002 Buffalo Gap Rd,"4002 Buffalo Gap Rd, Abilene, TX"
pioneer,Mister Car Wash Pioneer,Abilene,TX,130 S Pioneer Dr,"130 S Pioneer Dr, Abilene, TX"
indiana-ave,Mister Car Wash Indiana Ave,Lubbock,TX,8301 Indiana Ave,"8301 Indiana Ave, Lubbock, TX"
quaker,Mister Car Wash Quaker,Lubbock,TX,7027 Quaker Ave,"7027 Quaker Ave, Lubbock, TX"
4th-street,Mister Car Wash 4th Street,Lubbock,TX,5523 4th Street,"5523 4th Street, Lubbock, TX"
82nd-street,Mister Car Wash 82nd Street,Lubbock,TX,6001 82nd Street,"6001 82nd Street, Lubbock, TX"
